Account,On/Off,Address,Region,City,State,Name Zip,Memo,Month,Btl / Keg Qty,750 Ml Equiv,9L CS Equiv,9L CS Equiv,Purchase Price,Total Sales
Fat Canary,on,"The Cheese Shop of VA, Inc.",Tidewater,Williamsburg,VA,23185,"Early Mountain Vineyards Virginia Red ""Foothills"" 2017",12/17/2019,12,12,1,,,
Fat Canary,on,"The Cheese Shop of VA, Inc.",Tidewater,Williamsburg,VA,23185,Early Mountain Vineyards Shenandoah Valley Cabernet Franc 2018,12/23/2019,2,2,0.17,,,
Fat Canary,on,"The Cheese Shop of VA, Inc.",Tidewater,Williamsburg,VA,23185,"Early Mountain Vineyards Virginia Red ""Foothills"" 2017",12/23/2019,12,12,1,,,
Fat Canary,on,"The Cheese Shop of VA, Inc.",Tidewater,Williamsburg,VA,23185,Early Mountain Vineyards Virginia Pétillant Naturel Red 2018,12/30/2019,6,6,0.5,,,
Fat Canary,on,"The Cheese Shop of VA, Inc.",Tidewater,Williamsburg,VA,23185,"Early Mountain Vineyards Virginia ""Young Wine"" Chambourcin 2018",1/15/2020,2,2,0.17,,,
Fat Canary,on,"The Cheese Shop of VA, Inc.",Tidewater,Williamsburg,VA,23185,Early Mountain Vineyards Virginia Pétillant Naturel Red 2018,1/15/2020,2,2,0.17,,,
Fat Canary,on,"The Cheese Shop of VA, Inc.",Tidewater,Williamsburg,VA,23185,"Early Mountain Vineyards Virginia Red ""Foothills"" 2017",1/15/2020,6,6,0.5,,,
Fat Canary,on,"The Cheese Shop of VA, Inc.",Tidewater,Williamsburg,VA,23185,"Early Mountain Vineyards Virginia Red ""Foothills"" 2017",1/22/2020,6,6,0.5,,,
Fat Canary,on,"The Cheese Shop of VA, Inc.",Tidewater,Williamsburg,VA,23185,Early Mountain Vineyards Shenandoah Valley Cabernet Franc 2018,1/29/2020,2,2,0.17,,,
Fat Canary,on,"The Cheese Shop of VA, Inc.",Tidewater,Williamsburg,VA,23185,"Early Mountain Vineyards Virginia Red ""Foothills"" 2017",1/29/2020,4,4,0.33,,,
Fat Canary,on,"The Cheese Shop of VA, Inc.",Tidewater,Williamsburg,VA,23185,"Early Mountain Vineyards Virginia Red ""Eluvium"" 2017",2/19/2020,2,2,0.17,,,
Fat Canary,on,"The Cheese Shop of VA, Inc.",Tidewater,Williamsburg,VA,23185,"Early Mountain Vineyards Virginia Red ""Foothills"" 2018",2/19/2020,6,6,0.5,,,
Fat Canary,on,"The Cheese Shop of VA, Inc.",Tidewater,Williamsburg,VA,23185,"Early Mountain Vineyards Virginia Red ""Foothills"" 2018",2/26/2020,12,12,1,,,
Fat Canary,on,"The Cheese Shop of VA, Inc.",Tidewater,Williamsburg,VA,23185,Early Mountain Vineyards Shenandoah Valley Cabernet Franc 2018,3/11/2020,3,3,0.25,$20.00 ,$60.00 ,
Fat Canary,on,"The Cheese Shop of VA, Inc.",Tidewater,Williamsburg,VA,23185,Early Mountain Vineyards Virginia Chardonnay 2018,3/11/2020,3,3,0.25,$16.67 ,$50.00 ,
Feast,off,416 W Main St Suite H,Charlottesville,Charlottesville,VA,22902,"Early Mountain Vineyards Virginia Red ""Foothills"" 2017",10/2/2019,12,12,1,13.33,160,
Feast,off,416 W Main St Suite H,Charlottesville,Charlottesville,VA,22902,Early Mountain Vineyards Virginia Rosé 2018,10/2/2019,12,12,1,,,
Feast,off,416 W Main St Suite H,Charlottesville,Charlottesville,VA,22902,Early Mountain Vineyards Virginia Rosé 2018,10/30/2019,12,12,1,,,
Feast,off,416 W Main St Suite H,Charlottesville,Charlottesville,VA,22902,"Early Mountain Vineyards Virginia Red ""Foothills"" 2017",11/20/2019,12,12,1,,,
Feast,off,416 W Main St Suite H,Charlottesville,Charlottesville,VA,22902,"Early Mountain Vineyards Virginia Red ""Foothills"" 2017",12/18/2019,12,12,1,,,
Feast,off,416 W Main St Suite H,Charlottesville,Charlottesville,VA,22902,"Early Mountain Vineyards Virginia Red ""Foothills"" 2017",2/5/2020,12,12,1,,,
Feast,off,416 W Main St Suite H,Charlottesville,Charlottesville,VA,22902,Early Mountain Vineyards Virginia Rosé 2019,3/6/2020,36,36,3,,,
Field & Main,on/off,8369 W. Main St.,NoVA,Marshall,VA,20115,"Field & Main ""Hestia"" Virginia Red Wine 2017",10/10/2019,24,24,2,,,
Field & Main,on/off,8369 W. Main St.,NoVa,Marshall,VA,20115,Early Mountain Vineyards Virginia Petit Manseng 2018,1/9/2020,4,4,0.33,,,
Field & Main,on/off,8369 W. Main St.,NoVa,Marshall,VA,20115,Early Mountain Vineyards Virginia Petit Manseng 2018,2/13/2020,12,12,1,,,
Flight Wine Bar,on,777 6th Street NW,DC,Washington,DC,20001,"Early Mountain Vineyards Virginia Red ""Rise"" 2015",7/19/2019,2,2,0.17,,,
Fond du Lac Cold Storage,off,285 West Broadway #330,NY,Manhattan,NY,10013,Early Mountain Vineyards Virginia Chardonnay 2017,3/11/2020,2,2,0.17,$16.67 ,$33.33 ,
Foods of All Nations,Off,2121 Ivy Rd,Charlottesville,Charlottesville,VA,22903,"Early Mountain Vineyards Virginia White ""Five Forks"" 2018",10/4/2019,3,3,0.25,,,
Foods of All Nations,Off,2121 Ivy Rd,Charlottesville,Charlottesville,VA,22903,Early Mountain Vineyards Shenandoah Valley Cabernet Franc 2017,10/18/2019,3,3,0.25,20,60,
Foods of All Nations,Off,2121 Ivy Rd,Charlottesville,Charlottesville,VA,22903,Early Mountain Vineyards Virginia Petit Manseng 2017,10/18/2019,3,3,0.25,16.67,50,
Foods of All Nations,Off,2121 Ivy Rd,Charlottesville,Charlottesville,VA,22903,"Early Mountain Vineyards Virginia Red ""Foothills"" 2017",10/18/2019,5,5,0.42,13.33,66.67,
Foods of All Nations,Off,2121 Ivy Rd,Charlottesville,Charlottesville,VA,22903,Early Mountain Vineyards Virginia Rosé 2018,10/25/2019,12,12,1,,,
Foods of All Nations,Off,2121 Ivy Rd,Charlottesville,Charlottesville,VA,22903,"Early Mountain Vineyards Virginia Red ""Eluvium"" 2016",11/8/2019,3,3,0.25,,,
Foods of All Nations,Off,2121 Ivy Rd,Charlottesville,Charlottesville,VA,22903,"Early Mountain Vineyards Virginia Red ""Foothills"" 2017",11/20/2019,6,6,0.5,,,
Foods of All Nations,Off,2121 Ivy Rd,Charlottesville,Charlottesville,VA,22903,Early Mountain Vineyards Virginia Chardonnay 2017,12/20/2019,6,6,0.5,,,
Foods of All Nations,Off,2121 Ivy Rd,Charlottesville,Charlottesville,VA,22903,"Early Mountain Vineyards Virginia Red ""Eluvium"" 2017",12/20/2019,3,3,0.25,,,
Foods of All Nations,Off,2121 Ivy Rd,Charlottesville,Charlottesville,VA,22903,"Early Mountain Vineyards Virginia Red ""Foothills"" 2017",12/20/2019,6,6,0.5,,,
Foods of All Nations,off,2121 Ivy Rd,Charlottesville,Charlottesville,VA,22903,"Early Mountain Vineyards Virginia Red ""Foothills"" 2017",1/3/2020,6,6,0.5,,,
Foods of All Nations,off,2121 Ivy Rd,Charlottesville,Charlottesville,VA,22903,Early Mountain Vineyards Shenandoah Valley Cabernet Franc 2018,1/17/2020,3,3,0.25,,,
Foods of All Nations,off,2121 Ivy Rd,Charlottesville,Charlottesville,VA,22903,Early Mountain Vineyards Virginia Petit Manseng 2018,2/14/2020,3,3,0.25,,,
Foods of All Nations,off,2121 Ivy Rd,Charlottesville,Charlottesville,VA,22903,"Early Mountain Vineyards Virginia Red ""Eluvium"" 2017",2/14/2020,3,3,0.25,,,
Foods of All Nations,off,2121 Ivy Rd,Charlottesville,Charlottesville,VA,22903,"Early Mountain Vineyards Virginia Red ""Foothills"" 2018",2/14/2020,6,6,0.5,,,
Foods of All Nations,off,2121 Ivy Rd,Charlottesville,Charlottesville,VA,22903,Early Mountain Vineyards Virginia Chardonnay 2017,2/21/2020,6,6,0.5,,,
Foods of All Nations,off,2121 Ivy Rd,Charlottesville,Charlottesville,VA,22903,Early Mountain Vineyards Virginia Petit Manseng 2018,2/28/2020,3,3,0.25,,,
Foods of All Nations,off,2121 Ivy Rd,Charlottesville,Charlottesville,VA,22903,Early Mountain Vineyards Virginia Rosé 2019,3/6/2020,36,36,3,,,
Foods of All Nations,off,2121 Ivy Rd,Charlottesville,Charlottesville,VA,22903,Early Mountain Vineyards Shenandoah Valley Cabernet Franc 2018,3/13/2020,3,3,0.25,$20.00 ,$60.00 ,
Foods of All Nations,off,2121 Ivy Rd,Charlottesville,Charlottesville,VA,22903,Early Mountain Vineyards Virginia Petit Manseng 2018,3/13/2020,6,6,0.5,$16.67 ,$100.00 ,
Foods of All Nations,off,2121 Ivy Rd,Charlottesville,Charlottesville,VA,22903,"Early Mountain Vineyards Virginia Red ""Foothills"" 2018",3/13/2020,6,6,0.5,,,
Fort Lewis Lodge,on,603 Old Plantation Way,Valley / Western VA,Millboro,VA,24460,"Early Mountain Vineyards Virginia Red ""Foothills"" 2017",10/11/2019,12,12,1,13.33,160,
Fort Lewis Lodge,on,603 Old Plantation Way,Valley / Western VA,Millboro,VA,24460,"Early Mountain Vineyards Virginia Red ""Foothills"" 2017",10/23/2019,18,18,1.5,,,
Fortunato,on,301 1st Street SW #300,Valley/Western,Roanoke,VA,24011,Early Mountain Vineyards Virginia Petit Manseng 2018,2/12/2020,1,1,0.08,,,
Founding Farmers - Tyson's Corner,on,1800 Tyson's Blvd.,NoVA,McLean,VA,22102,"Early Mountain Vineyards ""Virginia Vines"" Rosé 2018",10/15/2019,12,12,1,13.33,160,
Four Seasons Hotel,on,2800 Pennsylvania Ave. NW,DC,Washington,DC,20007,"Early Mountain Vineyards Virginia Red ""Rise"" 2015",5/28/2019,6,6,0.5,,,
French Louie,on,320 Atlantic Avenue,New York,Brooklyn,NY,11201,"Early Mountain Vineyards Virginia White ""Five Forks"" 2018",10/29/2019,48,48,4,,,
Friendly City Food Co-op,off,150 E Wolfe St,Valley / Western VA,Harrisonburg,VA,22802,Early Mountain Vineyards Virginia Rosé 2018,10/4/2019,2,2,0.17,,,
Friendly City Food Co-op,off,150 E Wolfe St,Valley / Western VA,Harrisonburg,VA,22802,Early Mountain Vineyards Virginia Rosé 2018,10/9/2019,3,3,0.25,,,
Friendly City Food Co-op,off,150 E Wolfe St,Valley / Western VA,Harrisonburg,VA,22802,"Early Mountain Vineyards Virginia Red ""Foothills"" 2017",10/11/2019,2,2,0.17,13.33,26.67,
Friendly City Food Co-op,off,150 E Wolfe St,Valley / Western VA,Harrisonburg,VA,22802,"Early Mountain Vineyards Virginia Red ""Foothills"" 2017",10/16/2019,5,5,0.42,13.33,66.67,
Friendly City Food Co-op,off,150 E Wolfe St,Valley / Western VA,Harrisonburg,VA,22802,Early Mountain Vineyards Virginia Rosé 2018,10/16/2019,1,1,0.08,,,
Friendly City Food Co-op,off,150 E Wolfe St,Valley / Western VA,Harrisonburg,VA,22802,"Early Mountain Vineyards Virginia Red ""Foothills"" 2017",10/23/2019,2,2,0.17,,,
Friendly City Food Co-op,off,150 E Wolfe St,Valley / Western VA,Harrisonburg,VA,22802,Early Mountain Vineyards Virginia Rosé 2018,10/23/2019,2,2,0.17,,,
Friendly City Food Co-op,off,150 E Wolfe St,Valley / Western VA,Harrisonburg,VA,22802,"Early Mountain Vineyards Virginia Red ""Foothills"" 2017",12/30/2019,6,6,0.5,,,
Friendly City Food Co-op,off,150 E Wolfe St,Valley/Western,Harrisonburg,VA,22802,"Early Mountain Vineyards Virginia Red ""Foothills"" 2017",1/15/2020,5,5,0.42,,,
Friendly City Food Co-op,off,150 E Wolfe St,Valley/Western,Harrisonburg,VA,22802,"Early Mountain Vineyards Virginia Red ""Foothills"" 2018",2/5/2020,6,6,0.5,,,
Friendly City Food Co-op,off,150 E Wolfe St,Valley/Western,Harrisonburg,VA,22802,"Early Mountain Vineyards Virginia Red ""Foothills"" 2018",2/12/2020,3,3,0.25,,,
Friendly City Food Co-op,off,150 E Wolfe St,Valley/Western,Harrisonburg,VA,22802,"Early Mountain Vineyards Virginia Red ""Foothills"" 2018",2/19/2020,4,4,0.33,,,
Friendly City Food Co-op,off,150 E Wolfe St,Valley/Western,Harrisonburg,VA,22802,Early Mountain Vineyards Virginia Petit Manseng 2018,2/26/2020,3,3,0.25,,,
Friendly City Food Co-op,off,150 E Wolfe St,Valley/Western,Harrisonburg,VA,22802,"Early Mountain Vineyards Virginia Red ""Foothills"" 2018",2/26/2020,2,2,0.17,,,
Friendly City Food Co-op,off,150 E Wolfe St,Valley/Western,Harrisonburg,VA,22802,Early Mountain Vineyards Virginia Rosé 2019,3/6/2020,6,6,0.5,,,
Friendly City Food Co-op,off,150 E Wolfe St,Valley/Western,Harrisonburg,VA,22802,"Early Mountain Vineyards Virginia Red ""Foothills"" 2018",3/11/2020,3,3,0.25,,,
Fry's Spring Beach Club,on,2513 Jefferson Park Ave,Charlottesville,Charlottesville,VA,22903,Early Mountain Vineyards Virginia Petit Manseng 2018,3/6/2020,4,4,0.33,$16.67 ,$66.67 ,
Fry's Spring Beach Club,on,2513 Jefferson Park Ave,Charlottesville,Charlottesville,VA,22903,Early Mountain Vineyards Virginia Rosé 2019,3/6/2020,4,4,0.33,,,
Gaskins,on,2 Chiurch Street,New York,Germantown,NY,12526,"Early Mountain Vineyards Virginia ""Young Wine"" Chambourcin 2018",11/20/2019,36,36,3,,,
Geeks Wine,off,559 Main Street,New York,Armonk,NY,10504,"Early Mountain Vineyards Virginia White ""Five Forks"" 2018",11/7/2019,48,48,4,,,
Glen's Garden Market,on/off,2001 S St. NW,DC,Washington,DC,20009,Early Mountain Vineyards Shenandoah Valley Cabernet Franc 2017,10/3/2019,12,12,1,20,240,
Glen's Garden Market,on/off,2001 S St. NW,DC,Washington,DC,20009,"Early Mountain Vineyards Virginia Red ""Foothills"" 2017",10/3/2019,12,12,1,13.33,160,
Glen's Garden Market,on/off,2001 S St. NW,DC,Washington,DC,20009,Early Mountain Vineyards Shenandoah Valley Cabernet Franc 2017,10/8/2019,6,6,0.5,20,120,
Glen's Garden Market,on/off,2001 S St. NW,DC,Washington,DC,20009,"Early Mountain Vineyards Virginia Red ""Foothills"" 2017",10/8/2019,12,12,1,13.33,160,
Glen's Garden Market,on/off,2001 S St. NW,DC,Washington,DC,20009,Early Mountain Vineyards Virginia Rosé 2018,10/8/2019,36,36,3,,,
Glen's Garden Market,on/off,2001 S St. NW,DC,Washington,DC,20009,"Early Mountain Vineyards Virginia White ""Five Forks"" 2018",10/8/2019,12,12,1,,,
Glen's Garden Market,on/off,2001 S St. NW,DC,Washington,DC,20009,Early Mountain Vineyards Virginia Pétillant Naturel Red 2018,10/25/2019,12,12,1,,,
Glen's Garden Market,on/off,2001 S St. NW,DC,Washington,DC,20009,"Early Mountain Vineyards Virginia Red ""Foothills"" 2017",10/25/2019,12,12,1,,,
Glen's Garden Market,on/off,2001 S St. NW,DC,Washington,DC,20009,"Early Mountain Vineyards Virginia Red ""Foothills"" 2017",11/8/2019,36,36,3,,,
Glen's Garden Market,on/off,2001 S St. NW,DC,Washington,DC,20009,Early Mountain Vineyards Shenandoah Valley Cabernet Franc 2017,11/15/2019,12,12,1,,,
Glen's Garden Market,on/off,2001 S St. NW,DC,Washington,DC,20009,Early Mountain Vineyards Shenandoah Valley Cabernet Franc 2018,11/22/2019,6,6,0.5,,,
Glen's Garden Market,on/off,2001 S St. NW,DC,Washington,DC,20009,"Early Mountain Vineyards Virginia Red ""Foothills"" 2017",12/5/2019,36,36,3,,,
Glen's Garden Market,on/off,2001 S St. NW,DC,Washington,DC,20009,"Early Mountain Vineyards Virginia Red ""Foothills"" 2017",12/20/2019,36,36,3,,,
Glen's Garden Market,on/off,2001 S St. NW,DC,Washington,DC,20009,Early Mountain Vineyards Shenandoah Valley Cabernet Franc 2018,1/10/2020,6,6,0.5,,,
Glen's Garden Market,on/off,2001 S St. NW,DC,Washington,DC,20009,"Early Mountain Vineyards Virginia Red ""Foothills"" 2017",1/10/2020,36,36,3,,,
Glen's Garden Market,on/off,2001 S St. NW,DC,Washington,DC,20009,Early Mountain Vineyards Shenandoah Valley Cabernet Franc 2018,1/21/2020,6,6,0.5,,,
Glen's Garden Market,on/off,2001 S St. NW,DC,Washington,DC,20009,Early Mountain Vineyards Shenandoah Valley Cabernet Franc 2018,2/7/2020,6,6,0.5,,,
Glen's Garden Market,on/off,2001 S St. NW,DC,Washington,DC,20009,"Early Mountain Vineyards Virginia Red ""Foothills"" 2018",2/7/2020,36,36,3,,,
Glen's Garden Market,on/off,2001 S St. NW,DC,Washington,DC,20009,Early Mountain Vineyards Shenandoah Valley Cabernet Franc 2018,3/6/2020,6,6,0.5,$20.00 ,$120.00 ,
Glen's Garden Market,on/off,2001 S St. NW,DC,Washington,DC,20009,"Early Mountain Vineyards Virginia Red ""Foothills"" 2018",3/6/2020,36,36,3,,,
Glen's Garden Market,on/off,2001 S St. NW,DC,Washington,DC,20009,Early Mountain Vineyards Virginia Rosé 2019,3/6/2020,60,60,5,,,
Glen's Garden Market,on/off,2001 S St. NW,DC,Washington,DC,20009,Early Mountain Vineyards Virginia Rosé 2019,3/13/2020,60,60,5,,,
Glen's Garden Market,on/off,2001 S St. NW,DC,Washington,DC,20009,Early Mountain Vineyards Shenandoah Valley Cabernet Franc 2018,3/20/2020,6,6,0.5,$20.00 ,$120.00 ,
Glen's Garden Market,on/off,2001 S St. NW,DC,Washington,DC,20009,Early Mountain Vineyards Virginia Rosé 2019,3/20/2020,36,36,3,,,
Glen's Garden Market,on/off,2001 S St. NW,DC,Washington,DC,20009,Early Mountain Vineyards Shenandoah Valley Cabernet Franc 2018,3/27/2020,6,6,0.5,$20.00 ,$120.00 ,
Glen's Garden Market,on/off,2001 S St. NW,DC,Washington,DC,20009,Early Mountain Vineyards Virginia Rosé 2019,3/27/2020,36,36,3,,,
Good Wine,off,327 Fifth Avenue,New York,Brooklyn,NY,11215,Early Mountain Vineyards Virginia Petit Manseng 2017,10/9/2019,12,12,1,16.67,200,
Good Wine,off,285 West Broadway,New York,New York,NY,10013,"Early Mountain Vineyards Virginia Red ""Foothills"" 2017",11/25/2019,12,12,1,,,
Good Wine,off,327 5th Ave,New York,Brooklyn,NY,11215,"Early Mountain Vineyards Virginia Red ""Foothills"" 2017",12/6/2019,24,24,2,,,
Good Wine,off,285 West Broadway,Manhattan,New York,NY,10013,"Early Mountain Vineyards Virginia Red ""Foothills"" 2017",1/3/2020,24,24,2,,,
Grape D'Vine,off,6 Depot Square,Hudson Valley,Sparkill,NY,10976,Early Mountain Vineyards Virginia Petit Manseng 2017,12/20/2019,48,48,4,,,
Greenwood,off,6701 Rockfish Gap TPK,Charlottesville,Crozet,VA,22932,Early Mountain Vineyards Virginia Petit Manseng 2017,10/4/2019,3,3,0.25,16.67,50,
Greenwood,off,6701 Rockfish Gap TPK,Charlottesville,Crozet,VA,22932,Early Mountain Vineyards Shenandoah Valley Cabernet Franc 2017,10/25/2019,6,6,0.5,,,
Greenwood,off,6701 Rockfish Gap TPK,Charlottesville,Crozet,VA,22932,"Early Mountain Vineyards Virginia Red ""Eluvium"" 2016",10/25/2019,6,6,0.5,,,
Greenwood,off,6701 Rockfish Gap TPK,Charlottesville,Crozet,VA,22932,"Early Mountain Vineyards Virginia White ""Five Forks"" 2017",10/25/2019,6,6,0.5,,,
Greenwood,off,6701 Rockfish Gap TPK,Charlottesville,Crozet,VA,22932,Early Mountain Vineyards Shenandoah Valley Cabernet Franc 2017,11/15/2019,3,3,0.25,,,
Greenwood,off,6701 Rockfish Gap TPK,Charlottesville,Crozet,VA,22932,Early Mountain Vineyards Shenandoah Valley Cabernet Franc 2018,11/22/2019,3,3,0.25,,,
Greenwood,off,6701 Rockfish Gap TPK,Charlottesville,Crozet,VA,22932,"Early Mountain Vineyards Virginia Red ""Foothills"" 2017",12/20/2019,3,3,0.25,,,
Greenwood,off,6701 Rockfish Gap TPK,Charlottesville,Crozet,VA,22932,Early Mountain Vineyards Shenandoah Valley Cabernet Franc 2018,12/27/2019,3,3,0.25,,,
Greenwood,off,6701 Rockfish Gap TPK,Charlottesville,Crozet,VA,22932,Early Mountain Vineyards Virginia Chardonnay 2017,12/27/2019,3,3,0.25,,,
Greenwood,off,6701 Rockfish Gap TPK,Charlottesville,Crozet,VA,22932,"Early Mountain Vineyards Virginia Red ""Foothills"" 2017",12/27/2019,3,3,0.25,,,
Greenwood,off,6701 Rockfish Gap TPK,Charlottesville,Crozet,VA,22932,"Early Mountain Vineyards Virginia Red ""Foothills"" 2017",1/31/2020,3,3,0.25,,,
Greenwood,off,6701 Rockfish Gap TPK,Charlottesville,Crozet,VA,22932,Early Mountain Vineyards Virginia Chardonnay 2017,2/14/2020,3,3,0.25,,,
Greenwood,off,6701 Rockfish Gap TPK,Charlottesville,Crozet,VA,22932,Early Mountain Vineyards Virginia Chardonnay Quaker Run 2017,2/14/2020,3,3,0.25,,,
Greenwood,off,6701 Rockfish Gap TPK,Charlottesville,Crozet,VA,22932,"Early Mountain Vineyards Virginia Red ""Eluvium"" 2017",2/21/2020,3,3,0.25,,,
Greenwood,off,6701 Rockfish Gap TPK,Charlottesville,Crozet,VA,22932,"Early Mountain Vineyards Virginia Red ""Foothills"" 2018",2/28/2020,3,3,0.25,,,
Grisette,on,3119 East Marshall Street,Richmond,Richmond,VA,23223,Early Mountain Vineyards Virginia Petit Manseng 2018,3/6/2020,3,3,0.25,$16.67 ,$50.00 ,
Grisette,on,3119 East Marshall Street,Richmond,Richmond,VA,23223,Early Mountain Vineyards Virginia Petit Manseng 2018,3/11/2020,6,6,0.5,$15.00 ,$90.00 ,
Hamilton's,on,101 W Main St,Charlottesville,Charlottesville,VA,22902,Early Mountain Vineyards Shenandoah Valley Cabernet Franc 2017,10/25/2019,12,12,1,,,
Hamilton's,on,101 W Main St,Charlottesville,Charlottesville,VA,22902,Early Mountain Vineyards Virginia Rosé 2019,3/6/2020,12,12,1,,,
HAZEL JANE'S,On,670 DEKALB AVE,ATLANTA,ATLANTA,GA,30307,EARLY MOUNTAIN PETITE MANSENG 2016,Jan-20,0.25,0.25,0.02,,,
HAZEL JANE'S,On,670 DEKALB AVE,ATLANTA,ATLANTA,GA,30307,EARLY MOUNTAIN PETITE MANSENG 2016,Feb-20,0.08,0.08,0.01,,,
HAZEL JANE'S,on ,670 DEKALB AVE,,ATLANTA,GA,30207826,EARLY MOUNTAIN PETITE MANSENG,Mar-20,0.08,0.08,0.01,,,
HEIRLOOM CAFE,on,815 N CHASE ST,ATHENS,ATHENS,GA,30601,EARLY MOUNTAIN VINEYARDS ROSE 2018,Feb-20,2,2,0.17,,,
HEIRLOOM CAFE,on,815 N CHASE ST,ATHENS,ATHENS,GA,30601,EARLY MOUNTAIN VINEYARDS FIVE FORKS WHITE BLEND 2018,Feb-20,0.67,0.67,0.06,,,
HEIRLOOM CAFE,on ,815 N CHASE ST,ATHENS,ATHENS,GA,30601,EARLY MOUNTAIN VINEYARDS FOOTHILLS RED BLEND 2017,Feb-20,0.67,0.67,0.06,,,
Henry's,off,69 Central Avenue,New York,Brooklyn,NY,11206,"Early Mountain Vineyards Virginia ""Young Wine"" Chambourcin 2018",10/24/2019,48,48,4,,,
High Street on Hudson,on,637 Hudson St,New York,Manhattan,NY,10014,Early Mountain Vineyards Virginia Chardonnay 2017,12/5/2019,24,24,2,,,
High Street on Hudson,on,285 West Broadway #330,NY,Manhattan,NY,10013,Early Mountain Vineyards Virginia Chardonnay 2017,3/12/2020,36,36,3,$15.83 ,$570.00 ,
Hill of Content,on,"833 Tinsley Dr,",Radiant,Charlottesville,VA,22732,Early Mountain Vineyards Shenandoah Valley Cabernet Franc 2018,2/11/2020,6,6,0.5,,,
Hill of Content,on,"833 Tinsley Dr,",Radiant,Charlottesville,VA,22732,Early Mountain Vineyards Virginia Chardonnay 2018,2/11/2020,6,6,0.5,,,
Hill of Content,on,"833 Tinsley Dr,",Radiant,Charlottesville,VA,22732,Early Mountain Vineyards Virginia Petit Manseng 2018,2/11/2020,6,6,0.5,,,
Hill of Content,on,"833 Tinsley Dr,",Radiant,Charlottesville,VA,22732,"Early Mountain Vineyards Virginia Red ""Eluvium"" 2017",2/11/2020,6,6,0.5,,,
HOME.MADE,On,1072 BAXTER STREET,ATHENS,ATHENS,GA,30606,EARLY MOUNTAIN VINEYARDS ROSE 2018,Jan-20,0.5,0.5,0.04,,,
HOME.MADE,On,1072 BAXTER STREET,ATHENS,ATHENS,GA,30606,EARLY MOUNTAIN VINEYARDS FOOTHILLS RED BLEND 2017,Jan-20,0.5,0.5,0.04,,,
HOME.MADE ,On ,1072 Baxter St,Athens,Athens,GA,30606,EARLY MOUNTAIN VINEYARDS ROSE 2018,2019-11,6,6,0.5,,,
HOME.MADE   ,On ,1072 Baxter St,Athens,Athens,GA,30606,EARLY MOUNTAIN VINEYARDS ROSE 2018,2019-09,6,6,0.5,,,
HOP CITY KROG STREET MARKET   ,On ,99 Krog St NE,Atlanta,Atlanta,GA,30307,EARLY MOUNTAIN VINEYARDS ROSE 2018,2019-09,12,12,1,,,
Hot Cakes,off,Barracks Road Shopping Center,Charlottesville,Charlottesville,VA,22903,"Early Mountain Vineyards Virginia Red ""Foothills"" 2017",12/6/2019,4,4,0.33,,,
In Vino Veritas,off,3015 Louisa Rd,Charlottesville,Keswick,VA,22947,Early Mountain Vineyards Shenandoah Valley Cabernet Franc 2018,12/18/2019,12,12,1,,,
In Vino Veritas,off,3015 Louisa Rd,Charlottesville,Keswick,VA,22947,Early Mountain Vineyards Virginia Chardonnay Quaker Run 2017,12/18/2019,12,12,1,,,
In Vino Veritas,off,3015 Louisa Rd,Charlottesville,Keswick,VA,22947,"Early Mountain Vineyards Virginia Red ""Eluvium"" 2017",12/18/2019,12,12,1,,,
Inn at Gristmill Square,on,118 Old Germantown Rd,Valley / Western VA,Warm Springs,VA,24484,"Early Mountain Vineyards Virginia ""Young Wine"" Chambourcin 2018",10/2/2019,12,12,1,12,144,
Inn at Gristmill Square,on,118 Old Germantown Rd,Valley / Western VA,Warm Springs,VA,24484,Early Mountain Vineyards Virginia Rosé 2018,10/2/2019,12,12,1,,,
Inn at Gristmill Square,on,118 Old Germantown Rd,Valley / Western VA,Warm Springs,VA,24484,"Early Mountain Vineyards Virginia White ""Five Forks"" 2018",10/2/2019,12,12,1,,,
Inn at Warm Springs,on,12968 Sam Snead Hwy,Valley/Western,Warm Springs,VA,24484,"Early Mountain Vineyards Virginia Red ""Foothills"" 2018",3/11/2020,12,12,1,,,
Ivy Inn,on,2244 Old Ivy Rd.,Charlottesville,Charlottesville,VA,22903-4817,Early Mountain Vineyards Virginia Chardonnay 2017,10/11/2019,12,12,1,16.67,200,
Ivy Inn,on,2244 Old Ivy Rd.,Charlottesville,Charlottesville,VA,22903-4817,"Early Mountain Vineyards Virginia Red ""Eluvium"" 2016",10/11/2019,12,12,1,23.33,280,
Ivy Inn,on,2244 Old Ivy Rd.,Charlottesville,Charlottesville,VA,22903-4817,Early Mountain Vineyards Virginia Chardonnay 2017,11/15/2019,12,12,1,,,
Ivy Inn,on,2244 Old Ivy Rd.,Charlottesville,Charlottesville,VA,22903-4817,"Early Mountain Vineyards Virginia Red ""Rise"" 2015 (3-pack)",11/22/2019,6,6,0.5,,,
Ivy Inn,on,2244 Old Ivy Rd.,Charlottesville,Charlottesville,VA,22903-4817,"Early Mountain Vineyards Virginia Red ""Eluvium"" 2017",12/23/2019,12,12,1,,,
Ivy Inn,on,2244 Old Ivy Rd.,Charlottesville,Charlottesville,VA,22903-4817,Early Mountain Vineyards Virginia Petit Manseng 2018,1/15/2020,6,6,0.5,,,
Ivy Inn,on,2244 Old Ivy Rd.,Charlottesville,Charlottesville,VA,22903-4817,"Early Mountain Vineyards Virginia Red ""Eluvium"" 2017",1/15/2020,12,12,1,,,
